hcpc_code_id,short_description,long_description
G8998,Swallow D/C status,"SWALLOWING FUNCTIONAL LIMITATION, DISCHARGE STATUS, AT DISCHARGE FROM THERAPY OR TO END REPORTING"
G8999,Motor speech current status,"MOTOR SPEECH FUNCTIONAL LIMITATION, CURRENT STATUS AT THERAPY EPISODE OUTSET AND AT REPORTING INTERVALS"
G9001,"MCCD, initial rate","COORDINATED CARE FEE, INITIAL RATE"
G9002,"MCCD,maintenance rate","COORDINATED CARE FEE, MAINTENANCE RATE"
G9003,"MCCD, risk adj hi, initial","COORDINATED CARE FEE, RISK ADJUSTED HIGH, INITIAL"
G9004,"MCCD, risk adj lo, initial","COORDINATED CARE FEE, RISK ADJUSTED LOW, INITIAL"
G9005,"MCCD, risk adj, maintenance","COORDINATED CARE FEE, RISK ADJUSTED MAINTENANCE"
G9006,"MCCD, Home monitoring","COORDINATED CARE FEE, HOME MONITORING"
G9007,"MCCD, sch team conf","COORDINATED CARE FEE, SCHEDULED TEAM CONFERENCE"
G9008,"Mccd,phys coor-care ovrsght","COORDINATED CARE FEE, PHYSICIAN COORDINATED CARE OVERSIGHT SERVICES"
G9009,"MCCD, risk adj, level 3","COORDINATED CARE FEE, RISK ADJUSTED MAINTENANCE, LEVEL 3"
G9010,"MCCD, risk adj, level 4","COORDINATED CARE FEE, RISK ADJUSTED MAINTENANCE, LEVEL 4"
G9011,"MCCD, risk adj, level 5","COORDINATED CARE FEE, RISK ADJUSTED MAINTENANCE, LEVEL 5"
G9012,Other Specified Case Mgmt,OTHER SPECIFIED CASE MANAGEMENT SERVICE NOT ELSEWHERE CLASSIFIED
G9013,ESRD demo bundle level I,ESRD DEMO BASIC BUNDLE LEVEL I
G9014,ESRD demo bundle-level II,ESRD DEMO EXPANDED BUNDLE INCLUDING VENOUS ACCESS AND RELATED SERVICES
G9016,Demo-smoking cessation coun,"SMOKING CESSATION COUNSELING, INDIVIDUAL, IN THE ABSENCE OF OR IN ADDITION TO ANY OTHER EVALUATION AND MANAGEMENT SERVICE, PER SESSION (6-10 MINUTES) [DEMO PROJECT CODE ONLY]"
G9017,Amantadine HCL 100mg oral,"AMANTADINE HYDROCHLORIDE, ORAL, PER 100 MG (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9018,"Zanamivir,inhalation pwd 10m","ZANAMIVIR, INHALATION POWDER, ADMINISTERED THROUGH INHALER, PER 10 MG (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9019,Oseltamivir phosphate 75mg,"OSELTAMIVIR PHOSPHATE, ORAL, PER 75 MG (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9020,Rimantadine HCL 100mg oral,"RIMANTADINE HYDROCHLORIDE, ORAL, PER 100 MG (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9033,Amantadine HCL oral brand,"AMANTADINE HYDROCHLORIDE, ORAL BRAND, PER 100 MG (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9034,"Zanamivir, inh pwdr, brand","ZANAMIVIR, INHALATION POWDER, ADMINISTERED THROUGH INHALER, BRAND, PER 10 MG (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9035,"Oseltamivir phosp, brand","OSELTAMIVIR PHOSPHATE, ORAL, BRAND, PER 75 MG (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9036,"Rimantadine HCL, brand","RIMANTADINE HYDROCHLORIDE, ORAL, BRAND, PER 100 MG (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9050,Oncology work-up evaluation,"ONCOLOGY; PRIMARY FOCUS OF VISIT; WORK-UP, EVALUATION, OR STAGING AT THE TIME OF CANCER DIAGNOSIS OR RECURRENCE (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9051,Oncology tx decision-mgmt,"ONCOLOGY; PRIMARY FOCUS OF VISIT; TREATMENT DECISION-MAKING AFTER DISEASE IS STAGED OR RESTAGED, DISCUSSION OF TREATMENT OPTIONS, SUPERVISING/COORDINATING ACTIVE CANCER DIRECTED THERAPY OR MANAGING CONSEQUENCES OF CANCER DIRECTED THERAPY (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9052,Onc surveillance for disease,ONCOLOGY; PRIMARY FOCUS OF VISIT; SURVEILLANCE FOR DISEASE RECURRENCE FOR PATIENT WHO HAS COMPLETED DEFINITIVE CANCER-DIRECTED THERAPY AND CURRENTLY LACKS EVIDENCE OF RECURRENT DISEASE; CANCER DIRECTED THERAPY MIGHT BE CONSIDERED IN THE FUTURE (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)
G9053,Onc expectant management pt,ONCOLOGY; PRIMARY FOCUS OF VISIT; EXPECTANT MANAGEMENT OF PATIENT WITH EVIDENCE OF CANCER FOR WHOM NO CANCER DIRECTED THERAPY IS BEING ADMINISTERED OR ARRANGED AT PRESENT; CANCER DIRECTED THERAPY MIGHT BE CONSIDERED IN THE FUTURE (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)
G9054,Onc supervision palliative,"ONCOLOGY; PRIMARY FOCUS OF VISIT; SUPERVISING, COORDINATING OR MANAGING CARE OF PATIENT WITH TERMINAL CANCER OR FOR WHOM OTHER MEDICAL ILLNESS PREVENTS FURTHER CANCER TREATMENT; INCLUDES SYMPTOM MANAGEMENT, END-OF-LIFE CARE PLANNING, MANAGEMENT OF PALLIATIVE THERAPIES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9055,Onc visit unspecified NOS,"ONCOLOGY; PRIMARY FOCUS OF VISIT; OTHER, UNSPECIFIED SERVICE NOT OTHERWISE LISTED (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9056,Onc prac mgmt adheres guide,ONCOLOGY; PRACTICE GUIDELINES; MANAGEMENT ADHERES TO GUIDELINES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)
G9057,Onc pract mgmt differs trial,ONCOLOGY; PRACTICE GUIDELINES; MANAGEMENT DIFFERS FROM GUIDELINES AS A RESULT OF PATIENT ENROLLMENT IN AN INSTITUTIONAL REVIEW BOARD APPROVED CLINICAL TRIAL (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)
G9058,Onc prac mgmt disagree w/gui,ONCOLOGY; PRACTICE GUIDELINES; MANAGEMENT DIFFERS FROM GUIDELINES BECAUSE THE TREATING PHYSICIAN DISAGREES WITH GUIDELINE RECOMMENDATIONS (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)
G9059,Onc prac mgmt pt opt alterna,"ONCOLOGY; PRACTICE GUIDELINES; MANAGEMENT DIFFERS FROM GUIDELINES BECAUSE THE PATIENT, AFTER BEING OFFERED TREATMENT CONSISTENT WITH GUIDELINES, HAS OPTED FOR ALTERNATIVE TREATMENT OR MANAGEMENT, INCLUDING NO TREATMENT (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9060,Onc prac mgmt dif pt comorb,ONCOLOGY; PRACTICE GUIDELINES; MANAGEMENT DIFFERS FROM GUIDELINES FOR REASON(S) ASSOCIATED WITH PATIENT COMORBID ILLNESS OR PERFORMANCE STATUS NOT FACTORED INTO GUIDELINES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)
G9061,Onc prac cond noadd by guide,ONCOLOGY; PRACTICE GUIDELINES; PATIENT’S CONDITION NOT ADDRESSED BY AVAILABLE GUIDELINES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)
G9061,Onc prac cond noadd by guide,ONCOLOGY; PRACTICE GUIDELINES; PATIENT'S CONDITION NOT ADDRESSED BY AVAILABLE GUIDELINES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)
G9062,Onc prac guide differs nos,ONCOLOGY; PRACTICE GUIDELINES; MANAGEMENT DIFFERS FROM GUIDELINES FOR OTHER REASON(S) NOT LISTED (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)
G9063,Onc dx nsclc stgI no progres,"ONCOLOGY; DISEASE STATUS; LIMITED TO NON-SMALL CELL LUNG CANCER; EXTENT OF DISEASE INITIALLY ESTABLISHED AS STAGE I (PRIOR TO NEO-ADJUVANT THERAPY, IF ANY) WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9064,Onc dx nsclc stg2 no progres,"ONCOLOGY; DISEASE STATUS; LIMITED TO NON-SMALL CELL LUNG CANCER; EXTENT OF DISEASE INITIALLY ESTABLISHED AS STAGE II (PRIOR TO NEO-ADJUVANT THERAPY, IF ANY) WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9065,Onc dx nsclc stg3A no progre,"ONCOLOGY; DISEASE STATUS; LIMITED TO NON-SMALL CELL LUNG CANCER; EXTENT OF DISEASE INITIALLY ESTABLISHED AS STAGE III A (PRIOR TO NEO-ADJUVANT THERAPY, IF ANY) WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9066,Onc dx nsclc stg3B-4 metasta,"ONCOLOGY; DISEASE STATUS; LIMITED TO NON-SMALL CELL LUNG CANCER; STAGE III B- IV AT DIAGNOSIS, METASTATIC, LOCALLY RECURRENT, OR PROGRESSIVE (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9067,Onc dx nsclc dx unknown nos,"ONCOLOGY; DISEASE STATUS; LIMITED TO NON-SMALL CELL LUNG CANCER; EXTENT OF DISEASE UNKNOWN, STAGING IN PROGRESS, OR NOT LISTED (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9068,Onc dx sclc/nsclc limited,"ONCOLOGY; DISEASE STATUS; LIMITED TO SMALL CELL AND COMBINED SMALL CELL/NON-SMALL CELL; EXTENT OF DISEASE INITIALLY ESTABLISHED AS LIMITED WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9069,Onc dx sclc/nsclc ext at dx,"ONCOLOGY; DISEASE STATUS; SMALL CELL LUNG CANCER, LIMITED TO SMALL CELL AND COMBINED SMALL CELL/NON-SMALL CELL; EXTENSIVE STAGE AT DIAGNOSIS, METASTATIC, LOCALLY RECURRENT, OR PROGRESSIVE (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9070,Onc dx sclc/nsclc ext unknwn,"ONCOLOGY; DISEASE STATUS; SMALL CELL LUNG CANCER, LIMITED TO SMALL CELL AND COMBINED SMALL CELL/NON-SMALL; EXTENT OF DISEASE UNKNOWN, STAGING IN PROGRESS, OR NOT LISTED (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9071,"Onc dx brst stg1-2B HR,nopro","ONCOLOGY; DISEASE STATUS; INVASIVE FEMALE BREAST CANCER (DOES NOT INCLUDE DUCTAL CARCINOMA IN SITU); ADENOCARCINOMA AS PREDOMINANT CELL TYPE; STAGE I OR STAGE IIA-IIB; OR T3, N1, M0; AND ER AND/OR PR POSITIVE; WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9072,Onc dx brst stg1-2 noprogres,"ONCOLOGY; DISEASE STATUS; INVASIVE FEMALE BREAST CANCER (DOES NOT INCLUDE DUCTAL CARCINOMA IN SITU); ADENOCARCINOMA AS PREDOMINANT CELL TYPE; STAGE I, OR STAGE IIA-IIB; OR T3, N1, M0; AND ER AND PR NEGATIVE; WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9073,"Onc dx brst stg3-HR, no pro","ONCOLOGY; DISEASE STATUS; INVASIVE FEMALE BREAST CANCER (DOES NOT INCLUDE DUCTAL CARCINOMA IN SITU); ADENOCARCINOMA AS PREDOMINANT CELL TYPE; STAGE IIIA-IIIB; AND NOT T3, N1, M0; AND ER AND/OR PR POSITIVE; WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9074,Onc dx brst stg3-noprogress,"ONCOLOGY; DISEASE STATUS; INVASIVE FEMALE BREAST CANCER (DOES NOT INCLUDE DUCTAL CARCINOMA IN SITU); ADENOCARCINOMA AS PREDOMINANT CELL TYPE; STAGE IIIA-IIIB; AND NOT T3, N1, M0; AND ER AND PR NEGATIVE; WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9075,Onc dx brst metastic/ recur,"ONCOLOGY; DISEASE STATUS; INVASIVE FEMALE BREAST CANCER (DOES NOT INCLUDE DUCTAL CARCINOMA IN SITU); ADENOCARCINOMA AS PREDOMINANT CELL TYPE; M1 AT DIAGNOSIS, METASTATIC, LOCALLY RECURRENT, OR PROGRESSIVE (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9077,Onc dx prostate T1no progres,"ONCOLOGY; DISEASE STATUS; PROSTATE CANCER, LIMITED TO ADENOCARCINOMA AS PREDOMINANT CELL TYPE; T1-T2C AND GLEASON 2-7 AND PSA < OR EQUAL TO 20 AT DIAGNOSIS WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9078,Onc dx prostate T2no progres,"ONCOLOGY; DISEASE STATUS; PROSTATE CANCER, LIMITED TO ADENOCARCINOMA AS PREDOMINANT CELL TYPE; T2 OR T3A GLEASON 8-10 OR PSA > 20 AT DIAGNOSIS WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9079,Onc dx prostate T3b-T4noprog,"ONCOLOGY; DISEASE STATUS; PROSTATE CANCER, LIMITED TO ADENOCARCINOMA AS PREDOMINANT CELL TYPE; T3B-T4, ANY N; ANY T, N1 AT DIAGNOSIS WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9080,Onc dx prostate w/rise PSA,"ONCOLOGY; DISEASE STATUS; PROSTATE CANCER, LIMITED TO ADENOCARCINOMA; AFTER INITIAL TREATMENT WITH RISING PSA OR FAILURE OF PSA DECLINE (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9083,Onc dx prostate unknwn nos,"ONCOLOGY; DISEASE STATUS; PROSTATE CANCER, LIMITED TO ADENOCARCINOMA; EXTENT OF DISEASE UNKNOWN, STAGING IN PROGRESS, OR NOT LISTED (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9084,"Onc dx colon t1-3,n1-2,no pr","ONCOLOGY; DISEASE STATUS; COLON CANCER, LIMITED TO INVASIVE CANCER, ADENOCARCINOMA AS PREDOMINANT CELL TYPE; EXTENT OF DISEASE INITIALLY ESTABLISHED AS T1-3, N0, M0 WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9085,"Onc dx colon T4, N0 w/o prog","ONCOLOGY; DISEASE STATUS; COLON CANCER, LIMITED TO INVASIVE CANCER, ADENOCARCINOMA AS PREDOMINANT CELL TYPE; EXTENT OF DISEASE INITIALLY ESTABLISHED AS T4, N0, M0 WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9086,Onc dx colon T1-4 no dx prog,"ONCOLOGY; DISEASE STATUS; COLON CANCER, LIMITED TO INVASIVE CANCER, ADENOCARCINOMA AS PREDOMINANT CELL TYPE; EXTENT OF DISEASE INITIALLY ESTABLISHED AS T1-4, N1-2, M0 WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9087,Onc dx colon metas evid dx,"ONCOLOGY; DISEASE STATUS; COLON CANCER, LIMITED TO INVASIVE CANCER, ADENOCARCINOMA AS PREDOMINANT CELL TYPE; M1 AT DIAGNOSIS, METASTATIC, LOCALLY RECURRENT, OR PROGRESSIVE WITH CURRENT CLINICAL, RADIOLOGIC, OR BIOCHEMICAL EVIDENCE OF DISEASE (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9088,Onc dx colon metas noevid dx,"ONCOLOGY; DISEASE STATUS; COLON CANCER, LIMITED TO INVASIVE CANCER, ADENOCARCINOMA AS PREDOMINANT CELL TYPE; M1 AT DIAGNOSIS, METASTATIC, LOCALLY RECURRENT, OR PROGRESSIVE WITHOUT CURRENT CLINICAL, RADIOLOGIC, OR BIOCHEMICAL EVIDENCE OF DISEASE (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9089,Onc dx colon extent unknown,"ONCOLOGY; DISEASE STATUS; COLON CANCER, LIMITED TO INVASIVE CANCER, ADENOCARCINOMA AS PREDOMINANT CELL TYPE; EXTENT OF DISEASE UNKNOWN, STAGING IN PROGRESS, OR NOT LISTED (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9090,Onc dx rectal T1-2 no progr,"ONCOLOGY; DISEASE STATUS; RECTAL CANCER, LIMITED TO INVASIVE CANCER, ADENOCARCINOMA AS PREDOMINANT CELL TYPE; EXTENT OF DISEASE INITIALLY ESTABLISHED AS T1-2, N0, M0 (PRIOR TO NEO-ADJUVANT THERAPY, IF ANY) WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9091,Onc dx rectal T3 N0 no prog,"ONCOLOGY; DISEASE STATUS; RECTAL CANCER, LIMITED TO INVASIVE CANCER, ADENOCARCINOMA AS PREDOMINANT CELL TYPE; EXTENT OF DISEASE INITIALLY ESTABLISHED AS T3, N0, M0 (PRIOR TO NEO-ADJUVANT THERAPY, IF ANY) WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9092,"Onc dx rectal T1-3,N1-2noprg","ONCOLOGY; DISEASE STATUS; RECTAL CANCER, LIMITED TO INVASIVE CANCER, ADENOCARCINOMA AS PREDOMINANT CELL TYPE; EXTENT OF DISEASE INITIALLY ESTABLISHED AS T1-3, N1-2, M0 (PRIOR TO NEO-ADJUVANT THERAPY, IF ANY) WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9093,"Onc dx rectal T4,N,M0 no prg","ONCOLOGY; DISEASE STATUS; RECTAL CANCER, LIMITED TO INVASIVE CANCER, ADENOCARCINOMA AS PREDOMINANT CELL TYPE; EXTENT OF DISEASE INITIALLY ESTABLISHED AS T4, ANY N, M0 (PRIOR TO NEO-ADJUVANT THERAPY, IF ANY) WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9094,Onc dx rectal M1 w/mets prog,"ONCOLOGY; DISEASE STATUS; RECTAL CANCER, LIMITED TO INVASIVE CANCER, ADENOCARCINOMA AS PREDOMINANT CELL TYPE; M1 AT DIAGNOSIS, METASTATIC, LOCALLY RECURRENT, OR PROGRESSIVE (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9095,Onc dx rectal extent unknwn,"ONCOLOGY; DISEASE STATUS; RECTAL CANCER, LIMITED TO INVASIVE CANCER, ADENOCARCINOMA AS PREDOMINANT CELL TYPE; EXTENT OF DISEASE UNKNOWN, STAGING IN PROGRESS, OR NOT LISTED (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9096,Onc dx esophag T1-T3 noprog,"ONCOLOGY; DISEASE STATUS; ESOPHAGEAL CANCER, LIMITED TO ADENOCARCINOMA OR SQUAMOUS CELL CARCINOMA AS PREDOMINANT CELL TYPE; EXTENT OF DISEASE INITIALLY ESTABLISHED AS T1-T3, N0-N1 OR NX (PRIOR TO NEO-ADJUVANT THERAPY, IF ANY) WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9097,Onc dx esophageal T4 no prog,"ONCOLOGY; DISEASE STATUS; ESOPHAGEAL CANCER, LIMITED TO ADENOCARCINOMA OR SQUAMOUS CELL CARCINOMA AS PREDOMINANT CELL TYPE; EXTENT OF DISEASE INITIALLY ESTABLISHED AS T4, ANY N, M0 (PRIOR TO NEO-ADJUVANT THERAPY, IF ANY) WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9098,Onc dx esophageal mets recur,"ONCOLOGY; DISEASE STATUS; ESOPHAGEAL CANCER, LIMITED TO ADENOCARCINOMA OR SQUAMOUS CELL CARCINOMA AS PREDOMINANT CELL TYPE; M1 AT DIAGNOSIS, METASTATIC, LOCALLY RECURRENT, OR PROGRESSIVE (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9099,Onc dx esophageal unknown,"ONCOLOGY; DISEASE STATUS; ESOPHAGEAL CANCER, LIMITED TO ADENOCARCINOMA OR SQUAMOUS CELL CARCINOMA AS PREDOMINANT CELL TYPE; EXTENT OF DISEASE UNKNOWN, STAGING IN PROGRESS, OR NOT LISTED (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9100,Onc dx gastric no recurrence,"ONCOLOGY; DISEASE STATUS; GASTRIC CANCER, LIMITED TO ADENOCARCINOMA AS PREDOMINANT CELL TYPE; POST R0 RESECTION (WITH OR WITHOUT NEOADJUVANT THERAPY) WITH NO EVIDENCE OF DISEASE RECURRENCE, PROGRESSION, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9101,Onc dx gastric p R1-R2noprog,"ONCOLOGY; DISEASE STATUS; GASTRIC CANCER, LIMITED TO ADENOCARCINOMA AS PREDOMINANT CELL TYPE; POST R1 OR R2 RESECTION (WITH OR WITHOUT NEOADJUVANT THERAPY) WITH NO EVIDENCE OF DISEASE PROGRESSION, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9102,Onc dx gastric unresectable,"ONCOLOGY; DISEASE STATUS; GASTRIC CANCER, LIMITED TO ADENOCARCINOMA AS PREDOMINANT CELL TYPE; CLINICAL OR PATHOLOGIC M0, UNRESECTABLE WITH NO EVIDENCE OF DISEASE PROGRESSION, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9103,Onc dx gastric recurrent,"ONCOLOGY; DISEASE STATUS; GASTRIC CANCER, LIMITED TO ADENOCARCINOMA AS PREDOMINANT CELL TYPE; CLINICAL OR PATHOLOGIC M1 AT DIAGNOSIS, METASTATIC, LOCALLY RECURRENT, OR PROGRESSIVE (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9104,Onc dx gastric unknown NOS,"ONCOLOGY; DISEASE STATUS; GASTRIC CANCER, LIMITED TO ADENOCARCINOMA AS PREDOMINANT CELL TYPE; EXTENT OF DISEASE UNKNOWN, STAGING IN PROGRESS, OR NOT LISTED (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9105,Onc dx pancreatc p R0 res no,"ONCOLOGY; DISEASE STATUS; PANCREATIC CANCER, LIMITED TO ADENOCARCINOMA AS PREDOMINANT CELL TYPE; POST R0 RESECTION WITHOUT EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9106,Onc dx pancreatc p R1/R2 no,"ONCOLOGY; DISEASE STATUS; PANCREATIC CANCER, LIMITED TO ADENOCARCINOMA; POST R1 OR R2 RESECTION WITH NO EVIDENCE OF DISEASE PROGRESSION, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9107,Onc dx pancreatic unresectab,"ONCOLOGY; DISEASE STATUS; PANCREATIC CANCER, LIMITED TO ADENOCARCINOMA; UNRESECTABLE AT DIAGNOSIS, M1 AT DIAGNOSIS, METASTATIC, LOCALLY RECURRENT, OR PROGRESSIVE (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9108,Onc dx pancreatic unknwn NOS,"ONCOLOGY; DISEASE STATUS; PANCREATIC CANCER, LIMITED TO ADENOCARCINOMA; EXTENT OF DISEASE UNKNOWN, STAGING IN PROGRESS, OR NOT LISTED (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9109,Onc dx head/neck T1-T2no prg,"ONCOLOGY; DISEASE STATUS; HEAD AND NECK CANCER, LIMITED TO CANCERS OF ORAL CAVITY, PHARYNX AND LARYNX WITH SQUAMOUS CELL AS PREDOMINANT CELL TYPE; EXTENT OF DISEASE INITIALLY ESTABLISHED AS T1-T2 AND N0, M0 (PRIOR TO NEO-ADJUVANT THERAPY, IF ANY) WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9110,Onc dx head/neck T3-4 noprog,"ONCOLOGY; DISEASE STATUS; HEAD AND NECK CANCER, LIMITED TO CANCERS OF ORAL CAVITY, PHARYNX AND LARYNX WITH SQUAMOUS CELL AS PREDOMINANT CELL TYPE; EXTENT OF DISEASE INITIALLY ESTABLISHED AS T3-4 AND/OR N1-3, M0 (PRIOR TO NEO-ADJUVANT THERAPY, IF ANY) WITH NO EVIDENCE OF DISEASE PROGRESSION, RECURRENCE, OR METASTASES (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9111,Onc dx head/neck M1 mets rec,"ONCOLOGY; DISEASE STATUS; HEAD AND NECK CANCER, LIMITED TO CANCERS OF ORAL CAVITY, PHARYNX AND LARYNX WITH SQUAMOUS CELL AS PREDOMINANT CELL TYPE; M1 AT DIAGNOSIS, METASTATIC, LOCALLY RECURRENT, OR PROGRESSIVE (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
G9112,Onc dx head/neck ext unknown,"ONCOLOGY; DISEASE STATUS; HEAD AND NECK CANCER, LIMITED TO CANCERS OF ORAL CAVITY, PHARYNX AND LARYNX WITH SQUAMOUS CELL AS PREDOMINANT CELL TYPE; EXTENT OF DISEASE UNKNOWN, STAGING IN PROGRESS, OR NOT LISTED (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"
